,Number,Image,Card Name,Card Type,Faction,Energy Cost,Paired BakuCores,Base Bakugan,B-Power,Damage,Rarity,Text
0,1,,Deep Dive,Action Card,Aquos,1,,,,,Common,"<td colspan=""3""><img alt=""DrawaCard icon.png"" data-file-height=""2162"" data-file-width=""1960"" height=""28"" src=""/images/thumb/e/e2/DrawaCard_icon.png/25px-DrawaCard_icon.png"" srcset=""/images/thumb/e/e2/DrawaCard_icon.png/38px-DrawaCard_icon.png 1.5x, /images/thumb/e/e2/DrawaCard_icon.png/50px-DrawaCard_icon.png 2x"" width=""25""/> 1 (Draw a Card) &amp; you may <a href=""/wiki/Reroll"" title=""Reroll"">Reroll</a> your Bakugan.
</td>"
1,2,,Chomping Tornado,Action Card,Aquos,2,,,,,Common,"<td colspan=""3"">+500 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a>
</td>"
2,3,,Cloak Defense,Action Card,Aquos,4,,,,,Common,"<td colspan=""3""><a href=""/wiki/Scan"" title=""Scan""><img alt=""Scan Icon.png"" data-file-height=""436"" data-file-width=""444"" height=""25"" src=""/images/thumb/e/e9/Scan_Icon.png/25px-Scan_Icon.png"" srcset=""/images/thumb/e/e9/Scan_Icon.png/38px-Scan_Icon.png 1.5x, /images/thumb/e/e9/Scan_Icon.png/50px-Scan_Icon.png 2x"" width=""25""/></a> (Look at the top card of your deck. You may either keep it at the top of your deck, or place it at the bottom of your deck.) &amp; <img alt=""DrawaCard icon.png"" data-file-height=""2162"" data-file-width=""1960"" height=""28"" src=""/images/thumb/e/e2/DrawaCard_icon.png/25px-DrawaCard_icon.png"" srcset=""/images/thumb/e/e2/DrawaCard_icon.png/38px-DrawaCard_icon.png 1.5x, /images/thumb/e/e2/DrawaCard_icon.png/50px-DrawaCard_icon.png 2x"" width=""25""/> 3 (Draw 3 Cards)
</td>"
3,6,,Stardox Eye Blast,Action Card,Aquos,4,,,,,Common,"<td colspan=""3"">+900 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a>
</td>"
4,8,,Aquos Hurricrusher,Action Card,Aquos,3,,,,,Common,"<td colspan=""3"">+5 <a href=""/wiki/Damage"" title=""Damage""><img alt=""Icon-damage.png"" data-file-height=""1967"" data-file-width=""2084"" height=""24"" src=""/images/thumb/7/7f/Icon-damage.png/25px-Icon-damage.png"" srcset=""/images/thumb/7/7f/Icon-damage.png/38px-Icon-damage.png 1.5x, /images/thumb/7/7f/Icon-damage.png/50px-Icon-damage.png 2x"" width=""25""/></a> &amp; <a href=""/wiki/Scan"" title=""Scan""><img alt=""Scan Icon.png"" data-file-height=""436"" data-file-width=""444"" height=""25"" src=""/images/thumb/e/e9/Scan_Icon.png/25px-Scan_Icon.png"" srcset=""/images/thumb/e/e9/Scan_Icon.png/38px-Scan_Icon.png 1.5x, /images/thumb/e/e9/Scan_Icon.png/50px-Scan_Icon.png 2x"" width=""25""/></a> (Look at the top card of your deck. You may either keep it at the top of your deck, or place it at the bottom of your deck.)
<p><i><a href=""/wiki/Inspire_(Keyword)"" title=""Inspire (Keyword)"">Inspire</a>:</i> If you have drawn an extra card this turn, +9 <a href=""/wiki/Damage"" title=""Damage""><img alt=""Icon-damage.png"" data-file-height=""1967"" data-file-width=""2084"" height=""24"" src=""/images/thumb/7/7f/Icon-damage.png/25px-Icon-damage.png"" srcset=""/images/thumb/7/7f/Icon-damage.png/38px-Icon-damage.png 1.5x, /images/thumb/7/7f/Icon-damage.png/50px-Icon-damage.png 2x"" width=""25""/></a> instead.
</p>
</td>"
5,12,,Aquos Blackout,Action Card,Aquos,4,,,,,Awesome Rare,"<td colspan=""3""><img alt=""DrawaCard icon.png"" data-file-height=""2162"" data-file-width=""1960"" height=""28"" src=""/images/thumb/e/e2/DrawaCard_icon.png/25px-DrawaCard_icon.png"" srcset=""/images/thumb/e/e2/DrawaCard_icon.png/38px-DrawaCard_icon.png 1.5x, /images/thumb/e/e2/DrawaCard_icon.png/50px-DrawaCard_icon.png 2x"" width=""25""/> 2 (Draw 2 Cards). You may play an <a href=""/wiki/Action_Card"" title=""Action Card"">Action card</a> that costs 3 <a href=""/wiki/Energy"" title=""Energy""><img alt=""Battle Planet Energy Symbol.png"" data-file-height=""2758"" data-file-width=""2084"" height=""33"" src=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/25px-Battle_Planet_Energy_Symbol.png"" srcset=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/38px-Battle_Planet_Energy_Symbol.png 1.5x, /images/thumb/8/80/Battle_Planet_Energy_Symbol.png/50px-Battle_Planet_Energy_Symbol.png 2x"" width=""25""/></a> or less for free.
</td>"
6,14,,Body Crusher,Action Card,Darkus,1,,,,,Common,"<td colspan=""3"">-4 <a href=""/wiki/Damage"" title=""Damage""><img alt=""Icon-damage.png"" data-file-height=""1967"" data-file-width=""2084"" height=""24"" src=""/images/thumb/7/7f/Icon-damage.png/25px-Icon-damage.png"" srcset=""/images/thumb/7/7f/Icon-damage.png/38px-Icon-damage.png 1.5x, /images/thumb/7/7f/Icon-damage.png/50px-Icon-damage.png 2x"" width=""25""/></a> &amp; <a href=""/wiki/Scan"" title=""Scan""><img alt=""Scan Icon.png"" data-file-height=""436"" data-file-width=""444"" height=""25"" src=""/images/thumb/e/e9/Scan_Icon.png/25px-Scan_Icon.png"" srcset=""/images/thumb/e/e9/Scan_Icon.png/38px-Scan_Icon.png 1.5x, /images/thumb/e/e9/Scan_Icon.png/50px-Scan_Icon.png 2x"" width=""25""/></a> (Look at the top card of your deck. You may either keep it at the top of your deck, or place it at the bottom of your deck.)
</td>"
7,15,,Triple Blazing Barrage,Action Card,Darkus,2,,,,,Common,"<td colspan=""3"">+200 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a>, +2 <a href=""/wiki/Damage"" title=""Damage""><img alt=""Icon-damage.png"" data-file-height=""1967"" data-file-width=""2084"" height=""24"" src=""/images/thumb/7/7f/Icon-damage.png/25px-Icon-damage.png"" srcset=""/images/thumb/7/7f/Icon-damage.png/38px-Icon-damage.png 1.5x, /images/thumb/7/7f/Icon-damage.png/50px-Icon-damage.png 2x"" width=""25""/></a>, &amp; <a href=""/wiki/Scan"" title=""Scan""><img alt=""Scan Icon.png"" data-file-height=""436"" data-file-width=""444"" height=""25"" src=""/images/thumb/e/e9/Scan_Icon.png/25px-Scan_Icon.png"" srcset=""/images/thumb/e/e9/Scan_Icon.png/38px-Scan_Icon.png 1.5x, /images/thumb/e/e9/Scan_Icon.png/50px-Scan_Icon.png 2x"" width=""25""/></a> (Look at the top card of your deck. You may either keep it at the top of your deck, or place it at the bottom of your deck.)
</td>"
8,18,,Ragin' Claw,Action Card,Darkus,4,,,,,Common,"<td colspan=""3"">+800 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a>
</td>"
9,20,,Darkus Face Bomb,Action Card,Darkus,2,,,,,Common,"<td colspan=""3"">+400 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a> &amp; <a href=""/wiki/Scan"" title=""Scan""><img alt=""Scan Icon.png"" data-file-height=""436"" data-file-width=""444"" height=""25"" src=""/images/thumb/e/e9/Scan_Icon.png/25px-Scan_Icon.png"" srcset=""/images/thumb/e/e9/Scan_Icon.png/38px-Scan_Icon.png 1.5x, /images/thumb/e/e9/Scan_Icon.png/50px-Scan_Icon.png 2x"" width=""25""/></a> (Look at the top card of your deck. You may either keep it at the top of your deck, or place it at the bottom of your deck.)
<p><i><a href=""/wiki/Scrounge"" title=""Scrounge"">Scrounge</a>:</i> Look at the top card of your deck. If it is <a href=""/wiki/Ventus#Reboot"" title=""Ventus""><img alt=""Ventus"" data-file-height=""100"" data-file-width=""100"" height=""21"" src=""/images/thumb/3/3a/Bbp_ventus.png/21px-Bbp_ventus.png"" srcset=""/images/thumb/3/3a/Bbp_ventus.png/32px-Bbp_ventus.png 1.5x, /images/thumb/3/3a/Bbp_ventus.png/42px-Bbp_ventus.png 2x"" width=""21""/></a><span style=""padding-left: 0.25em;""> </span><a href=""/wiki/Ventus#Reboot"" title=""Ventus"">Ventus</a>, you may reveal it for +600 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a> instead.
</p>
</td>"
