,Text
0,"<td colspan=""3"">+9 <a href=""/wiki/Damage"" title=""Damage""><img alt=""Icon-damage.png"" data-file-height=""1967"" data-file-width=""2084"" height=""24"" src=""/images/thumb/7/7f/Icon-damage.png/25px-Icon-damage.png"" srcset=""/images/thumb/7/7f/Icon-damage.png/38px-Icon-damage.png 1.5x, /images/thumb/7/7f/Icon-damage.png/50px-Icon-damage.png 2x"" width=""25""/></a>
</td>"
1,"<td colspan=""3"">+200 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a>
<p>You may draw two cards.
</p>
</td>"
2,"<td colspan=""3"">Draw a card.
<p>+1 <a href=""/wiki/FrostStrike"" title=""FrostStrike""><img alt=""FrostStrike Icon.png"" data-file-height=""2161"" data-file-width=""1886"" height=""29"" src=""/images/thumb/7/73/FrostStrike_Icon.png/25px-FrostStrike_Icon.png"" srcset=""/images/thumb/7/73/FrostStrike_Icon.png/38px-FrostStrike_Icon.png 1.5x, /images/thumb/7/73/FrostStrike_Icon.png/50px-FrostStrike_Icon.png 2x"" width=""25""/></a> (Opposing Flip Cards cost 1 <a href=""/wiki/Energy"" title=""Energy""><img alt=""Battle Planet Energy Symbol.png"" data-file-height=""2758"" data-file-width=""2084"" height=""33"" src=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/25px-Battle_Planet_Energy_Symbol.png"" srcset=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/38px-Battle_Planet_Energy_Symbol.png 1.5x, /images/thumb/8/80/Battle_Planet_Energy_Symbol.png/50px-Battle_Planet_Energy_Symbol.png 2x"" width=""25""/></a> more for each point of <a href=""/wiki/FrostStrike"" title=""FrostStrike"">FrostStrike</a> on this Bakugan on Victor) for each other card you have played this turn.
</p>
</td>"
3,"<td colspan=""3""><i><a href=""/wiki/Aurelus_Power"" title=""Aurelus Power"">Aurelus Power</a>:</i> If you have an <a href=""/wiki/Aurelus"" title=""Aurelus""><img alt=""Aurelus"" data-file-height=""100"" data-file-width=""100"" height=""21"" src=""/images/thumb/d/d6/Bbp_aurelus.png/21px-Bbp_aurelus.png"" srcset=""/images/thumb/d/d6/Bbp_aurelus.png/32px-Bbp_aurelus.png 1.5x, /images/thumb/d/d6/Bbp_aurelus.png/42px-Bbp_aurelus.png 2x"" width=""21""/></a><span style=""padding-left: 0.25em;""> </span><a href=""/wiki/Aurelus"" title=""Aurelus"">Aurelus</a> Bakugan on your team, this cost 2 <a href=""/wiki/Energy"" title=""Energy""><img alt=""Battle Planet Energy Symbol.png"" data-file-height=""2758"" data-file-width=""2084"" height=""33"" src=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/25px-Battle_Planet_Energy_Symbol.png"" srcset=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/38px-Battle_Planet_Energy_Symbol.png 1.5x, /images/thumb/8/80/Battle_Planet_Energy_Symbol.png/50px-Battle_Planet_Energy_Symbol.png 2x"" width=""25""/></a> less to play.
<p>Draw five cards.
</p>
</td>"
4,"<td colspan=""3"">Draw a card.
<p><i><a href=""/wiki/Flow"" title=""Flow"">Flow</a></i>: If you have played another card this turn, +500 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a>.
</p>
</td>"
5,"<td colspan=""3"">+400 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a>
<p><i><a href=""/wiki/Aurelus_Power"" title=""Aurelus Power"">Aurelus Power</a>:</i> If you have an <a href=""/wiki/Aurelus"" title=""Aurelus""><img alt=""Aurelus"" data-file-height=""100"" data-file-width=""100"" height=""21"" src=""/images/thumb/d/d6/Bbp_aurelus.png/21px-Bbp_aurelus.png"" srcset=""/images/thumb/d/d6/Bbp_aurelus.png/32px-Bbp_aurelus.png 1.5x, /images/thumb/d/d6/Bbp_aurelus.png/42px-Bbp_aurelus.png 2x"" width=""21""/></a><span style=""padding-left: 0.25em;""> </span><a href=""/wiki/Aurelus"" title=""Aurelus"">Aurelus</a> Bakugan on your team, this costs 2<a href=""/wiki/Energy"" title=""Energy""><img alt=""Battle Planet Energy Symbol.png"" data-file-height=""2758"" data-file-width=""2084"" height=""33"" src=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/25px-Battle_Planet_Energy_Symbol.png"" srcset=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/38px-Battle_Planet_Energy_Symbol.png 1.5x, /images/thumb/8/80/Battle_Planet_Energy_Symbol.png/50px-Battle_Planet_Energy_Symbol.png 2x"" width=""25""/></a> less to play.
</p>
</td>"
6,"<td colspan=""3"">Retract one of your open Bakugan.
</td>"
7,"<td colspan=""3"">+5 <a href=""/wiki/Damage"" title=""Damage""><img alt=""Icon-damage.png"" data-file-height=""1967"" data-file-width=""2084"" height=""24"" src=""/images/thumb/7/7f/Icon-damage.png/25px-Icon-damage.png"" srcset=""/images/thumb/7/7f/Icon-damage.png/38px-Icon-damage.png 1.5x, /images/thumb/7/7f/Icon-damage.png/50px-Icon-damage.png 2x"" width=""25""/></a>
<p><i><a href=""/wiki/Aurelus_Power"" title=""Aurelus Power"">Aurelus Power</a>:</i> If you have an <a href=""/wiki/Aurelus"" title=""Aurelus""><img alt=""Aurelus"" data-file-height=""100"" data-file-width=""100"" height=""21"" src=""/images/thumb/d/d6/Bbp_aurelus.png/21px-Bbp_aurelus.png"" srcset=""/images/thumb/d/d6/Bbp_aurelus.png/32px-Bbp_aurelus.png 1.5x, /images/thumb/d/d6/Bbp_aurelus.png/42px-Bbp_aurelus.png 2x"" width=""21""/></a><span style=""padding-left: 0.25em;""> </span><a href=""/wiki/Aurelus"" title=""Aurelus"">Aurelus</a> Bakugan on your team, this costs 2<a href=""/wiki/Energy"" title=""Energy""><img alt=""Battle Planet Energy Symbol.png"" data-file-height=""2758"" data-file-width=""2084"" height=""33"" src=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/25px-Battle_Planet_Energy_Symbol.png"" srcset=""/images/thumb/8/80/Battle_Planet_Energy_Symbol.png/38px-Battle_Planet_Energy_Symbol.png 1.5x, /images/thumb/8/80/Battle_Planet_Energy_Symbol.png/50px-Battle_Planet_Energy_Symbol.png 2x"" width=""25""/></a> less to play.
</p>
</td>"
8,"<td colspan=""3"">Negate a <a class=""mw-redirect"" href=""/wiki/Hero_Cards"" title=""Hero Cards"">Hero</a> or <a href=""/wiki/Action_Card"" title=""Action Card"">Action card</a>.
</td>"
9,"<td colspan=""3"">+200 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a>
<p>If you have played a card from three different factions this turn, +800 <a href=""/wiki/B-Power"" title=""B-Power""><img alt=""Icon-power.png"" data-file-height=""2071"" data-file-width=""2133"" height=""15"" src=""/images/thumb/d/d1/Icon-power.png/15px-Icon-power.png"" srcset=""/images/thumb/d/d1/Icon-power.png/23px-Icon-power.png 1.5x, /images/thumb/d/d1/Icon-power.png/30px-Icon-power.png 2x"" width=""15""/></a> instead.
</p>
</td>"
